run_date,miles,Time,Title
2018-02-11,5.03,1:34:24,San Francisco Running
2018-02-10,2.22,46:25:00,Seattle Running
2018-02-09,0.42,09:57.0,Seattle Running
2018-02-09,0.94,14:58,Running
2018-02-09,0.82,19:05,Seattle Running
2018-02-09,0.45,09:21.2,Running
2018-02-08,0.6,12:22,San Francisco Running
2018-02-08,0.31,05:29.7,San Francisco Running
2018-02-08,1.03,21:01,San Francisco Running
2018-02-07,3.07,59:55:00,San Francisco Running
2018-02-06,0.36,08:34.2,San Francisco Running
2018-02-06,0.82,17:52,San Francisco Running
2018-02-06,0.23,07:11.7,San Francisco Running
2018-02-06,1.05,22:07,San Francisco Running
2018-02-05,2.24,44:49:00,San Francisco Running
2018-02-05,1.42,29:31:00,San Francisco Running
2018-02-04,1.63,32:54:00,San Francisco Running
2018-02-03,4.35,1:22:01,Sausalito Running
2018-02-02,2.44,59:32:00,San Francisco Running
2018-02-01,0.25,04:46.0,San Francisco Running
2018-02-01,2.78,57:41:00,San Francisco Running
2018-01-31,1.96,40:35:00,San Francisco Running
2018-01-31,2.66,53:03:00,San Francisco Running
2018-01-30,0.54,11:53,San Francisco Running
2018-01-30,2.31,41:37:00,San Francisco Running
2018-01-30,0.92,18:52,San Francisco Running
2018-01-29,2.01,42:55:00,San Francisco Running
2018-01-29,1.43,30:00:00,San Francisco Running
2018-01-28,2.65,53:30:00,San Francisco Running
2018-01-27,4.64,1:32:49,San Francisco Running
2018-01-26,0.58,12:16,San Francisco Running
2018-01-26,1.66,29:52:00,San Francisco Running
2018-01-26,0.84,17:51,San Francisco Running
2018-01-25,2.69,55:49:00,San Francisco Running
2018-01-24,2.16,46:32:00,San Francisco Running
2018-01-23,3.38,1:04:07,San Francisco Running
2018-01-22,2.49,51:41:00,San Francisco Running
2018-01-22,2.16,43:47:00,San Francisco Running
2018-01-21,3.11,1:02:18,San Francisco Running
2018-01-20,4.43,1:27:23,San Francisco Running
2018-01-19,1.81,38:10:00,San Francisco Running
2018-01-19,2.53,54:50:00,San Francisco Running
2018-01-18,2.59,53:52:00,San Francisco Running
2018-01-17,1.82,36:58:00,San Francisco Running
2018-01-17,3.26,1:04:29,San Francisco Running
2018-01-16,2.08,43:25:00,St. James's Ward Running
2018-01-15,1.63,33:35:00,St. James's Ward Running
2018-01-14,3.68,1:18:51,Oxford Running
2018-01-13,1.88,38:53:00,Oxford Running
2018-01-12,2.93,58:18:00,San Francisco Running
2018-05-03,4
2018-05-06,4
2018-05-07,3
2018-05-08,3
2018-05-09,2
